Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par arrondissement; ; ; ; ; ; 
Code;Libellé;Nb de pers. non scolarisées de 15 ans ou + 2021;Salaire net horaire moyen 2022;Population municipale 2022;Densité de population (historique depuis 1876) 2021;Taux de pauvreté 2021
011;Belley;92860;15.98;126468;78.8;10.1
012;Bourg-en-Bresse;252168;16.31;345948;119.2;9.1
013;Gex;71768;15.82;104770;252;12.4
014;Nantua;68740;14.61;94103;104.3;16.3
021;Château-Thierry;51991;14.95;69416;62.6;14.6
022;Laon;114976;14.16;153495;70.8;18.6
023;Saint-Quentin;94137;14.53;126102;118;20.7
024;Soissons;80270;14.82;107206;80;16.7
025;Vervins;53030;13.71;69339;42.2;23.2
031;Montluçon;82499;14.05;104950;48.5;17.3
032;Moulins;59603;13.86;76303;37.8;15.2
033;Vichy;121186;14.44;153462;48.6;15.9
041;Barcelonnette;6179;13.4;7715;7.5;16.8
042;Castellane;9404;13.79;11417;6.6;21.5
043;Digne-les-Bains;37594;13.96;48726;30.6;16.3
044;Forcalquier;76767;15.02;99321;37.9;17
051;Briançon;26160;14.25;33484;15.6;14.8
052;Gap;84368;13.9;108193;31.6;14.6
061;Grasse;443317;17.77;577803;465.6;14
062;Nice;398009;15.62;536776;173;19.1
071;Largentière;83124;13.58;104301;39.2;18.4
072;Privas;65611;14.82;86375;75.2;15.7
073;Tournon-sur-Rhône;108732;15.29;142553;81.5;12.3
081;Charleville-Mézières;117655;14.5;152746;84.4;20.5
082;Rethel;27784;14.7;37306;31.1;14.2
083;Sedan;43279;14.04;56363;71.3;20.8
084;Vouziers;16491;13.88;20789;14.9;17.2
091;Foix;37895;14.17;48272;26.6;16.2
092;Pamiers;51184;13.88;66000;61.1;18.4
093;Saint-Girons;33063;13.76;41067;20.3;23.3
101;Bar-sur-Aube;21785;13.79;26878;21.9;15.3
102;Nogent-sur-Seine;40261;14.68;53884;44.1;16.8
103;Troyes;168824;14.64;230314;65;17.1
111;Carcassonne;125781;13.78;163742;70.6;20.2
112;Limoux;34602;13.49;42380;24.5;23.7
113;Narbonne;133491;14.1;171651;81.2;20.8
121;Millau;63211;13.72;79679;21.3;15.5
122;Rodez;87725;14.36;112791;39.2;12.9
123;Villefranche-de-Rouergue;69651;13.77;87266;41.2;15.5
131;Aix-en-Provence;336687;19.02;464360;278;11.1
132;Arles;131089;15.47;172826;84.5;18.5
133;Marseille;791006;16.57;1096455;1595.7;22.8
134;Istres;249949;16.57;336170;467.6;15.6
141;Bayeux;56483;14.79;73936;75.6;10.2
142;Caen;281064;15.31;399290;248.1;12.6
143;Lisieux;124440;14.97;160208;91.1;13.1
144;Vire;54043;13.95;71171;58.9;13
151;Aurillac;65244;13.64;82808;42.5;12.7
152;Mauriac;21146;12.98;24990;19.6;16.3
153;Saint-Flour;30079;12.98;36601;14.7;16.1
161;Angoulême;139764;14.7;181817;97.1;15.6
162;Cognac;78050;15.65;98817;59.1;12.1
163;Confolens;57493;13.56;70969;29.3;18
171;Jonzac;54571;13.8;68842;39.4;16.2
172;Rochefort;158986;14.21;196439;126.8;12.2
173;La Rochelle;172375;16.11;231319;267;11.1
174;Saintes;93883;14.08;119130;89.8;12.4
175;Saint-Jean-d'Angély;41833;13.4;52430;36.8;15.7
181;Bourges;130748;15.07;170733;61.2;13.6
182;Saint-Amand-Montrond;49551;13.64;60997;22.8;16.8
183;Vierzon;53691;14.18;67766;38.6;15.7
191;Brive-la-Gaillarde;101266;14.67;129574;87.7;13.3
192;Tulle;57281;13.84;70310;29.5;13.9
193;Ussel;31460;13.46;40236;20.2;14.9
211;Beaune;84283;15.66;109350;46.2;9
212;Dijon;262930;15.68;370369;131.2;12.3
213;Montbard;46522;13.78;57858;16.1;14.3
221;Dinan;81896;14.58;106772;107.5;10.2
222;Guingamp;97913;13.8;126343;54.8;14
223;Lannion;79184;15.49;100877;110.9;11.3
224;Saint-Brieuc;207027;14.36;275606;101.7;11.6
231;Aubusson;35551;12.94;42999;15.2;21.1
232;Guéret;58775;13.5;72530;26.5;18.2
241;Bergerac;82393;14.02;103299;56.3;17.2
242;Nontron;45168;13.61;54460;25.8;18.3
243;Périgueux;138736;13.97;177003;61.3;15.1
244;Sarlat-la-Canéda;66628;13.5;81563;35.7;18.2
251;Besançon;178499;15.3;254489;131.6;14.2
252;Montbéliard;131089;15.01;175105;139.8;16.2
253;Pontarlier;86672;14.28;119068;57.6;6.8
261;Die;52582;14.77;68965;27.2;14.5
262;Nyons;116824;15.69;153056;61.4;16.1
263;Valence;221260;15.56;299411;196.6;14.3
271;Les Andelys;172680;16.3;235893;128.9;13.1
272;Bernay;169369;15.62;225544;69.8;10.9
273;Évreux;101012;15.29;139868;144.6;15.1
281;Chartres;155132;16.46;209975;98.4;10.3
282;Châteaudun;44222;14.32;57450;39.9;12.7
283;Dreux;93571;15.89;130609;86.2;14.4
284;Nogent-le-Rotrou;27210;14;34916;43.1;14.3
291;Brest;274527;15.48;383790;273.1;10.6
292;Châteaulin;63728;13.8;81520;46.2;13.3
293;Morlaix;100181;14.24;130880;97.7;11.3
294;Quimper;258269;14.73;331722;146.4;10.2
2A1;Ajaccio;95162;15.29;123120;54.5;14.2
2A4;Sartène;33378;14;42925;23.3;19.6
2B2;Bastia;72190;14.86;92842;196.7;18.8
2B3;Corte;46566;13.71;60986;21.1;22.3
2B5;Calvi;25337;13.76;31403;23.3;20.1
301;Alès;119033;13.87;154805;120.3;22.8
302;Nîmes;420820;15.56;569528;176.9;19.1
303;Le Vigan;31405;14.13;39677;28.3;22.1
311;Muret;170513;16.67;235273;142;11.1
312;Saint-Gaudens;62376;14.22;77429;36.1;18
313;Toulouse;783230;18.09;1143559;443.3;14.7
321;Auch;64552;15.61;84144;43.7;13
322;Condom;54222;14.03;67301;27.3;17.2
323;Mirande;33884;13.51;41204;22.1;16.8
331;Blaye;70684;14.92;95753;121.3;13.9
332;Bordeaux;715890;17.42;1027237;665.7;12.9
333;Langon;102700;14.59;134929;50.8;14.2
334;Lesparre-Médoc;72413;15.08;95101;41.2;12
335;Libourne;118791;14.87;156947;121.7;15.7
336;Arcachon;128914;16.79;165013;110.7;8.6
341;Béziers;250271;14;325400;104.1;22.9
342;Lodève;108959;16.76;147749;73.2;14.1
343;Montpellier;518102;16.12;744182;729.7;18.8
351;Fougères-Vitré;137765;14.56;188154;86.4;9.3
352;Redon;75763;14.72;105773;80.5;9.3
353;Rennes;431306;16.9;641930;284.4;11.7
354;Saint-Malo;132840;15.31;173375;160.7;10.2
361;Le Blanc;25028;13.04;30455;17.1;16.3
362;Châteauroux;99094;13.91;126129;48.2;15.5
363;La Châtre;22829;13.49;27607;23;16.5
364;Issoudun;26197;14.4;32618;27.7;13.3
371;Chinon;79030;15.05;104144;45.1;11.6
372;Tours;280474;16.37;394832;360.4;13.7
373;Loches;90238;14.74;117350;42.5;11.1
381;Grenoble;533659;17.77;750664;170.3;12.4
382;La Tour-du-Pin;225864;16.36;317894;204.5;10.7
383;Vienne;161793;16.39;222822;148;11.7
391;Dole;80899;15;106061;60;12.2
392;Lons-le-Saunier;81147;14.43;104261;45.9;11.8
393;Saint-Claude;36923;14.44;48083;50.3;10.9
401;Dax;186731;14.86;240041;74.3;11.5
402;Mont-de-Marsan;146203;14.06;188386;30.7;12
411;Blois;112676;15.41;151597;77.5;13.5
412;Vendôme;53185;14.92;67176;39.1;12.4
