name,address,city,country,price,cuisine,url,award,greenstar,stars,longitude,latitude
Yoshi,"4 avenue de la Madone, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,Japanese,https://www.metropole.com/fr/restaurant-montecarlo/yoshi/,Selected Restaurants,0,0.25,7.4279751,43.7408177
Em Sherif,"Hôtel de Paris Monte-Carlo, place du Casino, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,Lebanese,https://www.montecarlosbm.com/fr/restaurant-monaco/em-sherif-monte-carlo,Selected Restaurants,0,0.25,7.4275873,43.7389575
Zeffirino,"11 rue du Portier, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€,Italian,https://zeffirino-restaurant.com/monaco/,Selected Restaurants,0,0.25,7.4295871,43.7423995
Marius,"6 quai Antoine-1er, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€,Provençal,https://www.mariusmonaco.com,Selected Restaurants,0,0.25,7.4250077,43.7329778
Beefbar,"42 quai Jean-Charles-Rey, port de Fontvieille, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€,Meats and Grills,https://beefbar.com/monaco/,Selected Restaurants,0,0.25,7.4217471,43.7277253
Song Qi,"7 avenue Princesse-Grace, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€,"Asian, Chinese",https://www.song-qi.mc/,Selected Restaurants,0,0.25,7.4304206,43.7429923
Café de Paris,"Place du Casino, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€,Traditional Cuisine,https://www.montecarlosbm.com/fr/restaurant-monaco/le-cafe-de-paris,Selected Restaurants,0,0.25,7.4278082,43.7396266
La Table d'Élise,"2 rue du Portier, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€,"Traditional Cuisine, Mediterranean Cuisine",https://www.latabledelise.mc,Selected Restaurants,0,0.25,7.4294841,43.7421478
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"Place du Casino, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,"Mediterranean Cuisine, Modern Cuisine",https://www.ducasse-paris.com,3 Stars,0,3.0,7.4271047,43.7391839
Les Ambassadeurs by Christophe Cussac,"Hôtel Métropole Monte-Carlo, 4 avenue de la Madone, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,Mediterranean Cuisine,https://metropole.com/fr/pages/restaurant-montecarlo/le-restaurant-les-ambassadeurs-by-christophe-cussac/,2 Stars,0,2.0,7.4275615,43.7405056
L'Abysse Monte-Carlo,"Square Beaumarchais, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,Japanese,https://www.montecarlosbm.com/fr/restaurant/labysse-monte-carlo,2 Stars,0,2.0,7.4259282,43.7384886
Blue Bay Marcel Ravin,"40 avenue Princesse-Grace, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,Creative,https://www.montecarlosbm.com/fr/restaurant-monaco/le-blue-bay,2 Stars,0,2.0,7.4379746,43.7488966
Le Grill,"Hôtel de Paris Monte-Carlo, place du Casino, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,Classic Cuisine,https://www.montecarlosbm.com/fr/restaurant-monaco/le-grill,1 Star,0,1.0,7.4271,43.7393665
Robuchon Monaco,"Esplanade du Portier, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,Modern Cuisine,https://robuchonmonaco.com/,1 Star,0,1.0,7.4302288,43.742019
La Table d'Antonio Salvatore au Rampoldi,"3 avenue des Spélugues, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,"Italian, Creative",https://www.rampoldi.mc/la-table-dantonio-salvatore,1 Star,0,1.0,7.4278965,43.7403707
Elsa Marcel Ravin,"Monte-Carlo Beach, avenue Princesse-Grace, Roquebrune-Cap-Martin, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,Mediterranean Cuisine,https://www.montecarlosbm.com/fr/restaurant-monaco/elsa,1 Star,0,1.0,7.4443181,43.7506541
"Pavyllon Monte-Carlo, un restaurant de Yannick Alléno","Square Beaumarchais, Monaco, 98000, Principality of Monaco",Monaco,Principality of Monaco,€€€€,"Modern Cuisine, Creative",https://www.montecarlosbm.com/fr/restaurant-monaco/pavyllon-monte-carlo-restaurant-yannick-alleno,1 Star,0,1.0,7.4258682,43.7384624
