Year,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 FR101: Paris,"Euro, Millions",,160 406,161 712,162 368,165 582,172 171,175 198,186 771,189 261,182 178,196 632,199 526,204 857,207 534,210 141,214 434,219 964,227 457,237 283,246 937,226 007
 FR102: Seine-et-Marne,"Euro, Millions",,24 721.5,26 879.9,27 856.6,29 283.9,29 903.1,31 814.7,33 695.6,35 794.1,35 378.1,34 972.4,37 628.4,39 139.3,38 546.3,39 244.3,39 934.5,40 635.8,41 513.1,41 968.7,44 271.8,39 478.1
 FR103: Yvelines,"Euro, Millions",,41 113.9,42 180.8,42 832.7,43 728.5,45 595.8,47 101.2,50 043.1,52 799.2,50 204.9,51 977.9,53 645.1,53 823.9,55 041.9,54 497.6,56 771.4,57 769.3,58 659.2,59 728.3,61 249,56 649.9
 FR104: Essonne,"Euro, Millions",,31 959,33 611.8,35 251,36 274.2,36 045.8,38 293.5,40 579.4,43 791.5,42 114.2,43 544.7,42 610.7,43 857.9,47 425.1,47 993.2,49 173.1,50 072.2,52 010.1,53 586.7,55 491.7,53 821.9
 FR105: Hauts-de-Seine,"Euro, Millions",,99 819.9,105 194,106 868,111 508,118 961,123 114,131 837,138 689,134 657,145 246,147 676,151 710,156 217,157 950,159 861,164 572,168 693,177 044,188 096,176 675
 FR106: Seine-Saint-Denis,"Euro, Millions",,35 422.8,37 494.3,38 615.6,40 694,42 780.2,45 404.5,47 958.9,49 435.3,48 067.5,51 692.6,51 494,52 377.9,53 733.1,59 420.2,62 149.8,62 863,64 493.7,66 327.9,67 593.3,58 985.2
 FR107: Val-de-Marne,"Euro, Millions",,31 265.9,32 822.6,34 755.9,36 150.9,37 039.4,40 049.2,42 608.9,43 284.8,44 597.9,46 622,47 011.4,47 534.4,48 861.6,49 762.6,52 680.7,53 791.2,54 837.6,55 463.1,56 760.9,52 512.9
 FR108: Val-d'Oise,"Euro, Millions",,25 669,27 183.9,27 994,29 828.5,31 143.5,32 291.8,34 290.7,35 921.9,34 434.1,34 748.4,35 906.9,37 304.5,37 321.9,34 960.5,35 614.7,36 185.3,37 678.3,38 113.4,39 121.2,36 624.4
 FRB01: Cher,"Euro, Millions",,6 507.57,6 828.55,6 778.71,7 098.01,7 182.77,7 507.85,7 885.22,7 635.13,7 399.46,7 406.15,7 516.81,7 600.33,7 617.71,7 586.42,7 727.34,7 625.57,7 981.45,8 086.03,8 241.89,7 736.66
 FRB02: Eure-et-Loir,"Euro, Millions",,8 784.89,8 920.89,8 889.29,9 120.84,9 336.45,9 622.74,10 073,10 264.2,9 896.49,10 089.4,10 528.7,10 527,10 681.7,10 702.6,10 855,11 024.2,11 280.5,11 348.3,11 669.1,11 330.8
 FRB03: Indre,"Euro, Millions",,4 337.03,4 438.25,4 571.66,4 762.61,4 813.45,4 977.73,5 227.54,5 295.36,5 146.67,5 067.33,5 235.47,5 281.36,5 167.45,5 189.91,5 221.88,5 169.47,5 331.74,5 413.45,5 536.17,5 194.48
 FRB04: Indre-et-Loire,"Euro, Millions",,12 452,12 795.9,13 122.7,13 771.3,14 248,14 964.5,15 581.3,15 707.3,15 486.1,15 843.4,16 257.3,16 462.5,16 777.7,17 088.9,17 612.3,17 765.7,17 994.2,18 620.6,19 029.8,18 239.2
 FRB05: Loir-et-Cher,"Euro, Millions",,6 586.67,6 681.16,6 888.87,7 186.44,7 370.63,7 671.56,8 013.11,7 936.72,7 936.84,7 892.08,8 141.28,8 187.65,8 199.55,8 286.79,8 434.86,8 353.89,8 594.07,8 662.24,8 874.99,8 531.24
 FRB06: Loiret,"Euro, Millions",,16 490.2,16 853.8,17 642.6,18 442.7,18 816.2,19 509.6,20 289.6,19 756.7,19 115,19 942,20 376.5,20 541.1,20 644.9,20 617.1,20 878.3,21 113.5,21 570.4,22 011.2,22 482.4,21 674.9
 FRC11: Côte-d'Or,"Euro, Millions",,13 440.4,13 232,13 462.7,14 245.5,14 658.4,15 266.6,16 161.7,16 494.3,15 938.3,16 161.7,16 669.2,16 785.5,17 067.2,17 328.7,17 525.5,17 568.2,18 216.4,18 853,19 056.6,18 353
 FRC12: Nièvre,"Euro, Millions",,4 203.41,4 338.93,4 311.79,4 410.19,4 411.03,4 614.02,4 902.84,5 023.35,4 850.65,4 754.76,4 877.1,4 891.06,4 921.66,5 005.01,4 966.05,4 838.23,5 009.39,4 998.85,5 040.37,4 817.79
 FRC13: Saône-et-Loire,"Euro, Millions",,10 567.7,11 155.5,11 579.7,12 177.7,12 213.7,12 800.9,13 576.4,14 079,13 331.4,13 194.9,13 679.1,13 579.7,13 731,14 034.8,14 009,13 883.9,14 470.9,14 790.8,15 016.3,14 516.9
 FRC14: Yonne,"Euro, Millions",,6 759.89,7 071.68,7 051.28,7 413.32,7 585.83,7 826.34,8 321.1,8 412.47,8 087.99,7 876.99,8 270.21,8 303.73,8 142.38,8 271.25,8 368.72,8 085.99,8 518.18,8 703.26,8 694.5,8 475.96
 FRC21: Doubs,"Euro, Millions",,12 171.3,12 380.2,12 642.4,13 012.5,13 225.6,13 506.6,14 045,14 069.4,13 524.4,13 843.1,14 357.9,13 818.8,14 068.3,14 320.7,14 683.4,15 030.4,15 410.5,15 735.5,16 089.2,15 317.5
 FRC22: Jura,"Euro, Millions",,5 233.96,5 337.63,5 429.51,5 700.96,5 768.89,5 863.88,6 150.14,6 207.71,5 973.98,5 869.2,6 175.02,6 016.6,6 106.32,6 214.2,6 357.79,6 430.95,6 685.03,6 686.38,6 889.33,6 780.22
 FRC23: Haute-Saône,"Euro, Millions",,4 010.79,4 281.95,4 286.01,4 378.35,4 500.45,4 655.24,4 871.55,4 892.76,4 667.57,4 638.65,4 725.74,4 497.96,4 514.13,4 564.47,4 634.65,4 782.82,4 815,4 840.03,4 997.19,4 954.31
 FRC24: Territoire de Belfort,"Euro, Millions",,3 344.96,3 325.92,3 399.81,3 529.34,3 488.74,3 714.22,3 857.39,4 286.59,4 197.68,4 189.68,4 091.59,3 973.61,3 622.07,3 740.88,3 811.77,3 839.07,3 729.52,3 568.52,3 800.33,3 705.86
 FRD21: Eure,"Euro, Millions",,10 793.6,11 192.5,11 410.6,11 770.8,12 005.8,12 423.6,13 119.4,13 286.8,12 811.7,13 236.3,13 560.5,13 666.8,13 741.2,13 733.8,14 087.8,14 125.7,14 404.8,14 761.6,15 102.9,14 453.1
 FRD22: Seine-Maritime,"Euro, Millions",,30 073.1,30 621.3,31 600.4,32 840.5,33 673.3,34 861.8,36 952.5,37 442.1,35 869.5,37 174.8,38 174.3,38 800.8,39 159.1,39 410.8,40 179.9,39 434.6,39 928.4,40 011.8,40 598.7,38 168.9
 FRD11: Calvados,"Euro, Millions",,14 229.5,14 963.9,15 495.1,16 187.4,16 606.3,17 424.7,18 095.6,18 853.8,18 435.2,19 537.2,20 296.6,19 677.4,19 685.9,19 828.3,20 158,20 476.8,19 942.5,20 419.4,20 848.1,20 044.1
 FRD12: Manche,"Euro, Millions",,9 313.08,9 492.07,9 935.21,10 530.2,10 720.5,11 166.4,11 581.3,11 573.8,11 064.9,10 761,11 174.5,11 538.4,11 913.6,11 740.2,11 996.6,12 028,12 306.2,12 759.8,13 307.1,12 632.3
 FRD13: Orne,"Euro, Millions",,5 652.88,5 715.3,5 830.98,6 115.05,6 214.66,6 383.94,6 623.16,6 765.89,6 560.91,6 236.75,6 490.58,6 509.76,6 553.56,6 587.66,6 654.85,6 632.67,6 842.68,6 781.34,6 904.89,6 718.11
 FRE21: Aisne,"Euro, Millions",,9 911.33,10 054.5,9 957.21,10 315.4,10 712.5,10 993.1,11 622.9,11 572.2,11 135.5,11 370.5,11 602.7,11 699.1,11 708.9,11 725.5,11 819.8,11 645.1,12 089.9,12 145,12 482.2,12 016.4
 FRE22: Oise,"Euro, Millions",,16 398,16 907.8,17 633.2,17 980.8,18 367.1,18 916.5,19 889.9,20 127.7,19 252.3,19 713.1,20 365.7,20 522.6,20 463.9,20 466.3,21 380.8,21 269.3,22 095.9,21 969.6,22 582.7,21 192.7
 FRE23: Somme,"Euro, Millions",,11 738.4,11 980.5,12 411.7,12 632.5,12 869.6,13 140.9,13 857.2,14 311.2,13 887.9,14 116.9,14 458.9,14 759.4,14 919.1,14 829,15 224,14 847,15 411.6,15 807.4,16 183.1,15 577.4
 FRE11: Nord,"Euro, Millions",,53 447.7,55 553.5,57 763,59 960.1,61 879.4,65 102,68 262.6,71 008.7,68 754.4,69 383.2,72 136.6,72 128.6,73 258.2,74 181.2,76 245.9,77 056.8,79 479.6,81 600.4,83 000.1,79 689.9
 FRE12: Pas-de-Calais,"Euro, Millions",,24 770.1,25 533.1,25 852.6,26 814.5,27 663,29 019.1,30 416.3,31 649.5,30 668.8,31 136.2,31 839.3,31 793.6,32 192.5,32 724,32 779.7,33 358.9,34 159.8,34 711.7,35 717.8,34 529.6
 FRF21: Ardennes,"Euro, Millions",,5 503.45,5 493.6,5 514.38,5 786.72,5 809.55,6 061.54,6 310.74,6 348.58,6 081.13,6 018.42,6 387.53,6 049.7,6 175.01,6 117.96,6 175.88,6 006.43,6 156,6 327.29,6 457.64,6 080.74
 FRF22: Aube,"Euro, Millions",,6 309.3,6 552.72,6 675.27,7 125.04,7 219.28,7 425.34,7 817.11,8 013.11,7 711.1,7 671.12,8 142.24,7 924.58,7 935.28,8 022.66,7 952.29,7 729.55,8 109.85,8 457.06,8 488.19,8 133.92
 FRF23: Marne,"Euro, Millions",,14 688.1,14 986,15 064.3,16 503.4,16 711.7,17 182.9,18 282.2,18 283.8,16 903.1,17 557.7,18 614.8,18 506.2,18 588.1,18 439.4,18 697.8,18 670.2,19 388.8,19 888.8,20 080.9,18 948.1
 FRF24: Haute-Marne,"Euro, Millions",,3 873.5,3 887.83,3 878.03,4 006.92,4 014.67,4 106.95,4 302.51,4 534.7,4 352.13,4 235.43,4 476.83,4 268.39,4 340.71,4 387.72,4 396,4 325.9,4 461.26,4 476.39,4 526.47,4 266.83
 FRF31: Meurthe-et-Moselle,"Euro, Millions",,15 026.1,15 260.5,15 751.8,16 478.1,16 771.3,17 640,18 234.8,18 884.2,18 631.5,18 498,18 608.7,18 645,19 068.2,19 278.3,18 982.3,19 145.2,19 418.3,19 838.5,20 272.3,19 819.4
 FRF32: Meuse,"Euro, Millions",,3 495.49,3 613.2,3 663.41,3 816.66,3 942.58,4 036.3,4 239.11,3 930.91,3 695.88,3 746.62,3 871.93,3 868,3 904.63,3 955.35,4 018.44,3 934.63,4 053.72,4 061.34,4 199.61,4 051.47
