Code;Libellé;Population municipale 2020;Taux de pauvreté 2020;Densité de population (historique depuis 1876) 2020;Salaire net horaire moyen 2021
011;Belley;123405;10.2;77.9;15.3
012;Bourg-en-Bresse;340382;8.8;118.4;15.65
013;Gex;100314;12.4;247.8;15.32
014;Nantua;93755;15.5;104.2;14.14
021;Château-Thierry;70094;14;62.9;14.36
022;Laon;154583;17.8;71.1;13.64
023;Saint-Quentin;126727;19.9;118.3;14.05
024;Soissons;107658;16.2;80.2;14.2
025;Vervins;70312;22.1;42.4;13.23
031;Montluçon;105252;16.2;49.7;13.59
032;Moulins;104731;13.9;35.4;13.36
033;Vichy;125645;15.7;55.5;13.87
041;Barcelonnette;7735;16.8;7.5;13.19
042;Castellane;11397;19.4;6.6;13.42
043;Digne-les-Bains;47759;15.8;30.3;13.43
044;Forcalquier;98560;16.6;37.8;14.58
051;Briançon;33576;13.8;15.7;13.8
052;Gap;107029;13.9;31.4;13.46
061;Grasse;570603;13.9;463.4;17.31
062;Nice;526807;18.7;171.7;15.07
071;Largentière;103395;17.9;39.1;13.07
072;Privas;85914;14.6;75;14.25
073;Tournon-sur-Rhône;140016;11.7;80.6;14.62
081;Charleville-Mézières;154470;19.3;84.6;13.99
082;Rethel;37382;14.1;31.2;14.13
083;Sedan;56527;19.1;71.4;13.51
084;Vouziers;21322;16.3;15.1;13.31
091;Foix;47592;15.3;26.5;13.55
092;Pamiers;65324;17.3;60.7;13.31
093;Saint-Girons;41038;22;20.3;13.21
101;Bar-sur-Aube;27471;14.9;22.2;13.2
102;Nogent-sur-Seine;54063;16.4;44.2;14.08
103;Troyes;229901;16.3;64.9;14.07
111;Carcassonne;162885;19.3;70.5;13.24
112;Limoux;42183;22.5;24.4;12.74
113;Narbonne;170149;20.1;80.9;13.53
121;Millau;79336;15.4;21.2;13.16
122;Rodez;112689;12.2;39.3;13.84
123;Villefranche-de-Rouergue;87529;14.9;41.2;13.2
131;Aix-en-Provence;458920;10.8;276.9;18.28
132;Arles;171380;18;84.4;14.88
133;Marseille;1085664;22.1;1175.1;15.91
134;Istres;332106;14.6;464.4;15.78
141;Bayeux;73516;9.8;75.3;14.23
142;Caen;393027;11.8;246.3;14.75
143;Lisieux;159810;12.8;91;14.42
144;Vire;71194;12.4;59;13.36
151;Aurillac;82059;12;42.4;13.04
152;Mauriac;25173;14.8;19.7;12.4
153;Saint-Flour;37147;14.8;14.8;12.38
161;Angoulême;181778;14.8;97.3;14.15
162;Cognac;98945;11.8;59.2;14.97
163;Confolens;70995;17.9;29.4;13.07
171;Jonzac;68390;15.9;39.3;13.33
172;Rochefort;193038;12.1;125.8;13.61
173;La Rochelle;224295;10.9;263;15.46
174;Saintes;117992;12.2;89.4;13.51
175;Saint-Jean-d'Angély;51994;15.8;36.7;12.88
181;Bourges;171253;12.9;61.5;14.55
182;Saint-Amand-Montrond;61591;15.7;22.9;13.16
183;Vierzon;68089;15.2;38.5;13.59
191;Brive-la-Gaillarde;127976;12.7;87;14.06
192;Tulle;70243;13.3;29.7;13.28
193;Ussel;40971;14.3;20.3;12.83
211;Beaune;109214;9.4;46.3;15.01
212;Dijon;367628;11.7;130.9;15.17
213;Montbard;58236;14.3;16.2;13.25
221;Dinan;105300;10.6;106.9;14.08
222;Guingamp;125270;14.4;54.6;13.2
223;Lannion;100188;11.7;110.8;15.07
224;Saint-Brieuc;272882;11.9;101.2;13.86
231;Aubusson;43353;20.1;15.3;12.36
232;Guéret;72642;17.3;26.5;12.94
241;Bergerac;102435;16.6;56.3;13.49
242;Nontron;53998;17.6;25.7;12.79
243;Périgueux;175326;14.5;61.1;13.44
244;Sarlat-la-Canéda;81048;17.7;35.7;12.97
251;Besançon;252260;13.3;130.9;14.75
252;Montbéliard;175587;14.5;139.8;14.4
253;Pontarlier;117362;6.6;57.2;13.73
261;Die;68040;14.4;27;14.17
262;Nyons;151907;15.7;61;15.18
263;Valence;297762;13.8;196.4;14.95
271;Les Andelys;235416;12.4;129.2;15.67
272;Bernay;225807;10.8;70;14.98
273;Évreux;138445;14.2;144.4;14.7
281;Chartres;209726;9.9;98.5;15.8
282;Châteaudun;57604;12.6;40;13.6
283;Dreux;129040;14;86;15.34
284;Nogent-le-Rotrou;35073;14;43.2;13.47
291;Brest;379338;10.5;271.7;14.86
