name,address,city,country,price,cuisine,url,award,greenstar,stars,longitude,latitude
L'Enclume,"Cavendish Street, Cartmel, LA11 6QA, United Kingdom",Cartmel,United Kingdom,££££,Creative British,https://www.lenclume.co.uk/,3 Stars,1,3.0,-2.9538681,54.2017708
Alain Ducasse at The Dorchester,"Park Lane, Mayfair, London, W1K 1QA, United Kingdom",London,United Kingdom,££££,French,https://www.alainducasse-dorchester.com/,3 Stars,0,3.0,-0.152575,51.5073381
Hélène Darroze at The Connaught,"Carlos Place, Mayfair, London, W1K 2AL, United Kingdom",London,United Kingdom,££££,Modern Cuisine,https://www.the-connaught.co.uk/restaurants-bars/helene-darroze-at-the-connaught/,3 Stars,0,3.0,-0.1492905,51.510188
Restaurant Gordon Ramsay,"68-69 Royal Hospital Road, Chelsea, London, SW3 4HP, United Kingdom",London,United Kingdom,££££,French,https://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,3 Stars,0,3.0,-0.1621766,51.4854381
Fat Duck,"High Street, Bray, SL6 2AQ, United Kingdom",Bray,United Kingdom,££££,Creative,https://thefatduck.co.uk/,3 Stars,0,3.0,-0.7017529,51.5078582
Waterside Inn,"Ferry Road, Bray, SL6 2AT, United Kingdom",Bray,United Kingdom,££££,Classic French,https://www.waterside-inn.co.uk/,3 Stars,0,3.0,-0.6994376,51.5091092
"Sketch, The Lecture Room and Library","9 Conduit Street, Mayfair, London, W1S 2XG, United Kingdom",London,United Kingdom,££££,Modern French,https://sketch.london/the-lecture-room,3 Stars,0,3.0,-0.1415369,51.5126775
The Ledbury,"127 Ledbury Road, Notting Hill, London, W11 2AQ, United Kingdom",London,United Kingdom,££££,Modern Cuisine,https://www.theledbury.com/,3 Stars,0,3.0,-0.2000731,51.516681
Moor Hall,"Prescot Road, Aughton, L39 6RT, United Kingdom",Aughton,United Kingdom,££££,Modern British,http://www.moorhall.com,3 Stars,1,3.0,-2.8919183,53.5423365
CORE by Clare Smyth,"92 Kensington Park Road, Notting Hill, London, W11 2PN, United Kingdom",London,United Kingdom,££££,Modern British,https://www.corebyclaresmyth.com/,3 Stars,0,3.0,-0.2030649,51.5126689
The Glenturret Lalique,"The Glenturret Distillery, The Hosh, Torreglen, Crieff, PH7 4HA, United Kingdom",Crieff,United Kingdom,££££,Modern Cuisine,https://www.theglenturretrestaurant.com,2 Stars,0,2.0,-3.8527163,56.3890265
hide and fox,"The Green, Saltwood, CT21 4PS, United Kingdom",Saltwood,United Kingdom,££££,Modern British,https://hideandfox.co.uk,2 Stars,0,2.0,1.0762788,51.0805389
Humble Chicken,"54 Frith Street, Soho, London, W1D 4SL, United Kingdom",London,United Kingdom,££££,Japanese,https://www.humblechickenuk.com,2 Stars,0,2.0,-0.1317621,51.5138258
Trivet,"36 Snowsfields, Southwark, London, SE1 3SU, United Kingdom",London,United Kingdom,££££,Modern Cuisine,https://trivetrestaurant.co.uk/,2 Stars,0,2.0,-0.084674,51.502205
Da Terra,"8 Patriot Square, Bethnal Green, London, E2 9NF, United Kingdom",London,United Kingdom,££££,Creative,https://daterra.co.uk/,2 Stars,0,2.0,-0.05607,51.530411
Midsummer House,"Midsummer Common, Cambridge, CB4 1HA, United Kingdom",Cambridge,United Kingdom,££££,Creative,https://midsummerhouse.co.uk,2 Stars,0,2.0,0.1284006,52.2120545
Hand and Flowers,"126 West Street, Marlow, SL7 2BP, United Kingdom",Marlow,United Kingdom,££££,Modern British,https://www.thehandandflowers.co.uk/,2 Stars,0,2.0,-0.7836567,51.5696616
Gymkhana,"42 Albemarle Street, Mayfair, London, W1S 4JH, United Kingdom",London,United Kingdom,££££,Indian,https://gymkhanalondon.com,2 Stars,0,2.0,-0.141547,51.5085431
Story,"199 Tooley Street, Southwark, London, SE1 2JX, United Kingdom",London,United Kingdom,££££,Modern Cuisine,https://restaurantstory.co.uk/,2 Stars,0,2.0,-0.077787,51.5028085
Restaurant Andrew Fairlie,"Auchterarder, PH3 1NF, United Kingdom",Auchterarder,United Kingdom,££££,Modern French,https://www.andrewfairlie.co.uk,2 Stars,0,2.0,-3.7517344,56.2832316
Alex Dilling at Hotel Café Royal,"68 Regent Street, Soho, London, W1B 4DY, United Kingdom",London,United Kingdom,££££,Modern French,https://alexdilling.com/,2 Stars,0,2.0,-0.1359557,51.5100201
Ynyshir,"Eglwysfach, Machynlleth, SY20 8TA, United Kingdom",Machynlleth,United Kingdom,££££,Creative,https://www.ynyshir.co.uk,2 Stars,0,2.0,-3.9439501,52.5445284
Restaurant Sat Bains,"Lenton Lane, Nottingham, NG7 2SA, United Kingdom",Nottingham,United Kingdom,££££,Creative,https://www.restaurantsatbains.com/,2 Stars,1,2.0,-1.1676041,52.9251069
Opheem,"48 Summer Row, Birmingham, B3 1JJ, United Kingdom",Birmingham,United Kingdom,££££,Indian,https://opheem.com,2 Stars,0,2.0,-1.9079211,52.481614
Ikoyi,"180 Strand, Strand, London, WC2R 1EA, United Kingdom",London,United Kingdom,££££,Creative,https://ikoyilondon.com/,2 Stars,0,2.0,-0.1154759,51.512381
Dinner by Heston Blumenthal,"66 Knightsbridge, Knightsbridge, London, SW1X 7LA, United Kingdom",London,United Kingdom,££££,Traditional British,https://www.dinnerbyheston.co.uk/,2 Stars,0,2.0,-0.1599147,51.5021106
Claude Bosi at Bibendum,"Michelin House, 81 Fulham Road, Chelsea, London, SW3 6RD, United Kingdom",London,United Kingdom,££££,French,https://claudebosi.com/,2 Stars,0,2.0,-0.1688013,51.4933623
The Clove Club,"Shoreditch Town Hall, 380 Old Street, Shoreditch, London, EC1V 9LT, United Kingdom",London,United Kingdom,££££,Creative,https://www.thecloveclub.com/,2 Stars,0,2.0,-0.0793371,51.5271054
Kitchen Table,"70 Charlotte Street, Fitzrovia, London, W1T 4QG, United Kingdom",London,United Kingdom,££££,Modern Cuisine,https://kitchentablelondon.co.uk/,2 Stars,0,2.0,-0.13647,51.5203616
"Le Manoir aux Quat' Saisons, a Belmond Hotel","Church Road, Great Milton, OX44 7PD, United Kingdom",Great Milton,United Kingdom,££££,French,https://www.belmond.com/hotels/europe/uk/oxfordshire/belmond-le-manoir-aux-quat-saisons/dining,2 Stars,1,2.0,-1.0915663,51.7169058
