record_type,previous_year,current_year,previous_row,current_row,previous_name,current_name,previous_address,current_address,previous_location,current_location,department,region,previous_award,current_award,previous_stars,current_stars,previous_greenstar,current_greenstar,change_types,material,matching_method,matching_confidence,review_status,match_evidence
comparison,2023,2024,67.0,314.0,Auberge du Cheval Blanc,Auberge du Cheval Blanc,4 rue de Wissembourg,4 rue de Wissembourg,"Lembach, 67510","Lembach, 67510",Bas-Rhin,Grand Est,2 MICHELIN Stars,1 Star,2.0,1.0,,,demoted,True,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,1.0,78.0,René et Maxime Meilleur,René et Maxime Meilleur,Hameau de  Saint-Marcel,Hameau de Saint-Marcel,"Saint-Martin-de-Belleville, 73440","Saint-Martin-de-Belleville, 73440",Savoie,Auvergne-Rhône-Alpes,3 MICHELIN Stars,2 Stars,3.0,2.0,,,demoted,True,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,,193.0,,AinTimiste,,4 rue de la Pompe,,"Poncin, 01450",Ain,Auvergne-Rhône-Alpes,,1 Star,,1.0,,,new_entry,True,unmatched,0.0,unmatched,no deterministic match
comparison,2023,2024,,106.0,,Alpage,,"Annapurna, 734 route de l'Altiport, Courchevel 1850",,"Courchevel, 73120",Savoie,Auvergne-Rhône-Alpes,,1 Star,,1.0,,,new_entry,True,unmatched,0.0,unmatched,no deterministic match
comparison,2023,2024,,222.0,,Ar Men Du,,"47 rue des Îles, à Raguenès-Plage",,"Névez, 29920",Finistère,Bretagne,,1 Star,,1.0,,,new_entry,True,unmatched,0.0,unmatched,no deterministic match
comparison,2023,2024,,310.0,,Auberge de la Forge,,8 rue Jean-Parisot,,"Lavalette, 31590",Haute-Garonne,Occitanie,,1 Star,,1.0,,,new_entry,True,unmatched,0.0,unmatched,no deterministic match
comparison,2023,2024,,557.0,,Auberge de la Grive,,5 rue du Logis,,"Trosly-Loire, 02300",Aisne,Hauts-de-France,,1 Star,,1.0,,,new_entry,True,unmatched,0.0,unmatched,no deterministic match
comparison,2023,2024,,464.0,,Bacôve,,8 rue Caventou,,"Saint-Omer, 62500",Pas-de-Calais,Hauts-de-France,,1 Star,,1.0,,,new_entry,True,unmatched,0.0,unmatched,no deterministic match
comparison,2023,2024,,444.0,,Bessem,,183 avenue de la République,,"Mandelieu-La Napoule, 06210",Alpes-Maritimes,Provence-Alpes-Côte d'Azur,,1 Star,,1.0,,,new_entry,True,unmatched,0.0,unmatched,no deterministic match
comparison,2023,2024,,593.0,,Blanc,,52 rue de Longchamp,,"Paris, 75116",Paris,Île-de-France,,1 Star,,1.0,,,new_entry,True,unmatched,0.0,unmatched,no deterministic match
